"","city","starbucks_count","peets_count","median_age","median_household_income","X2010_population","p_white","land_area"
"Palm Springs","Palm Springs",7,0,51.6,45989,44552,76,94.12
"Palmdale","Palmdale",7,0,29.7,55213,152750,49,105.96
"Palo Alto","Palo Alto",10,4,41.9,122532,64403,64,23.88
"Palos Verdes Estates","Palos Verdes Estates",0,0,NA,NA,NA,NA,NA
"Paradise","Paradise",0,0,NA,NA,NA,NA,NA
"Paramount","Paramount",2,0,28.6,42831,54098,42,4.73
"Parlier","Parlier",0,0,NA,NA,NA,NA,NA
"Pasadena","Pasadena",23,2,37.2,67920,137122,56,22.97
"Paso Robles","Paso Robles",6,0,35.3,57927,29793,78,19.12
"Patterson","Patterson",0,0,NA,NA,NA,NA,NA
"Perris","Perris",3,0,25.9,49812,68386,42,31.39
"Petaluma","Petaluma",8,2,40.3,76185,57941,80,14.38
"Pico Rivera","Pico Rivera",2,0,34,55632,62942,59,8.3
"Piedmont","Piedmont",0,1,NA,NA,NA,NA,NA
"Pinole","Pinole",2,1,42.6,80042,18390,46,5.32
"Pismo Beach","Pismo Beach",1,0,51.8,65682,7655,91,3.6
"Pittsburg","Pittsburg",4,0,32.5,57965,63264,37,17.22
"Placentia","Placentia",0,0,NA,NA,NA,NA,NA
"Placerville","Placerville",3,0,40.4,53385,10389,84,5.81
"Pleasant Hill","Pleasant Hill",6,1,40.7,78765,33152,75,7.07
"Pleasanton","Pleasanton",7,2,40.5,118713,70285,67,24.11
"Plymouth","Plymouth",0,0,NA,NA,NA,NA,NA
"Point Arena","Point Arena",0,0,NA,NA,NA,NA,NA
"Pomona","Pomona",6,0,29.5,50893,149058,48,22.95
"Port Hueneme","Port Hueneme",1,0,31.3,52244,21723,57,4.45
"Porterville","Porterville",4,0,28.8,39933,54165,59,17.61
"Portola","Portola",0,1,NA,NA,NA,NA,NA
"Portola Valley","Portola Valley",0,0,NA,NA,NA,NA,NA
"Poway","Poway",4,0,41.3,94872,47811,77,39.08
"Rancho Cordova","Rancho Cordova",8,0,33.1,53878,64776,60,33.51
"Rancho Cucamonga","Rancho Cucamonga",12,0,34.5,78782,165269,62,39.85
"Rancho Mirage","Rancho Mirage",3,0,62.3,76261,17218,89,24.45
"Rancho Palos Verdes","Rancho Palos Verdes",2,0,47.8,116643,41643,62,13.46
"Rancho Santa Margarita","Rancho Santa Margarita",7,0,36,104167,47853,78,12.96
"Red Bluff","Red Bluff",2,0,32.2,31690,14076,81,7.56
"Redding","Redding",9,0,38.5,43157,89861,86,59.65
"Redlands","Redlands",7,0,36.2,68015,68747,69,36.13
"Redondo Beach","Redondo Beach",6,1,39.3,94982,66748,75,6.2
"Redwood City","Redwood City",9,1,36.7,77111,76815,60,19.42
"Reedley","Reedley",1,0,29.1,46776,24194,58,5.08
"Rialto","Rialto",2,0,28.3,50452,99171,44,22.35
"Richmond","Richmond",3,0,34.8,54554,103701,31,30.07
"Ridgecrest","Ridgecrest",2,0,33.8,59830,27616,77,20.77
"Rio Dell","Rio Dell",0,0,NA,NA,NA,NA,NA
"Rio Vista","Rio Vista",0,0,NA,NA,NA,NA,NA
"Ripon","Ripon",1,0,37.1,75934,14297,80,5.3
"Riverbank","Riverbank",3,0,31,59779,22678,66,4.09
"Riverside","Riverside",20,0,30,57555,303871,56,81.14
"Rocklin","Rocklin",8,1,36.7,79675,56974,83,19.54
"Rohnert Park","Rohnert Park",6,0,33,56950,40971,76,7
"Rolling Hills","Rolling Hills",3,0,51.7,69226,1860,77,2.99
"Rolling Hills Estates","Rolling Hills Estates",0,0,NA,NA,NA,NA,NA
"Rosemead","Rosemead",3,0,38.1,47964,53764,21,5.16
"Roseville","Roseville",21,3,36.8,75245,118788,79,36.22
"Ross","Ross",0,0,NA,NA,NA,NA,NA
"Sacramento","Sacramento",65,6,33,50781,466488,45,97.92
"Salinas","Salinas",10,0,28.8,50568,150441,46,23.18
"San Anselmo","San Anselmo",1,1,44.9,96639,12336,90,2.68
"San Bernardino","San Bernardino",8,0,28.5,40161,209924,46,59.2
"San Bruno","San Bruno",5,0,38.8,77468,41114,49,5.48
